index,time2,
325,1459820927,1459820927
325,1459827269,1459827269
325,1459827357,1459827357
325,1459827533,1459827533
325,1459827753,1459827753
325,1459858686,1459858686
325,1459858811,1459858811
325,1459858862,1459858862
325,1459860094,1459860094
325,1459865286,1459865286
325,1459865374,1459865374
325,1459882711,1459882711
325,1459891775,1459891775
326,1459820856,1459820856
326,1459821014,1459821014
326,1459821079,1459821079
326,1459821080,1459821080
326,1459822698,1459822698
326,1459822908,1459822908
326,1459823076,1459823076
326,1459823279,1459823279
326,1459823454,1459823454
326,1459823602,1459823602
326,1459827079,1459827079
326,1459827224,1459827224
326,1459869089,1459869089
326,1459869221,1459869221
326,1459869353,1459869353
326,1459869604,1459869604
326,1459869764,1459869764
326,1459869984,1459869984
326,1459870028,1459870028
326,1459870543,1459870543
326,1459872745,1459872745
326,1459872836,1459872836
326,1459873242,1459873242
326,1459873243,1459873243
326,1459877293,1459877293
326,1459877342,1459877342
326,1459878945,1459878945
326,1459878968,1459878968
326,1459881838,1459881838
326,1459881839,1459881839
326,1459883390,1459883390
326,1459883527,1459883527
326,1459883528,1459883528
326,1459889936,1459889936
326,1459889977,1459889977
326,1459890145,1459890145
327,1459830072,1459830072
327,1459830240,1459830240
327,1459830408,1459830408
327,1459830576,1459830576
327,1459830786,1459830786
327,1459830954,1459830954
327,1459831122,1459831122
327,1459831290,1459831290
327,1459831458,1459831458
327,1459831626,1459831626
327,1459831795,1459831795
327,1459831962,1459831962
327,1459832130,1459832130
327,1459832298,1459832298
327,1459832466,1459832466
327,1459832634,1459832634
327,1459832802,1459832802
327,1459832970,1459832970
327,1459833096,1459833096
327,1459833787,1459833787
327,1459833959,1459833959
327,1459834088,1459834088
327,1459834260,1459834260
327,1459834432,1459834432
327,1459834604,1459834604
327,1459834776,1459834776
327,1459834948,1459834948
327,1459835120,1459835120
327,1459835292,1459835292
327,1459835421,1459835421
327,1459835636,1459835636
327,1459835808,1459835808
327,1459835980,1459835980
327,1459836109,1459836109
327,1459836238,1459836238
327,1459843318,1459843318
327,1459843408,1459843408
327,1459843678,1459843678
327,1459843813,1459843813
327,1459843993,1459843993
327,1459844128,1459844128
327,1459844362,1459844362
327,1459844488,1459844488
327,1459844668,1459844668
327,1459844848,1459844848
327,1459844983,1459844983
327,1459845163,1459845163
327,1459845343,1459845343
327,1459845523,1459845523
327,1459845658,1459845658
327,1459845838,1459845838
327,1459846018,1459846018
327,1459846198,1459846198
327,1459846378,1459846378
327,1459846558,1459846558
327,1459846778,1459846778
327,1459849016,1459849016
327,1459849530,1459849530
327,1459849611,1459849611
327,1459849819,1459849819
327,1459850088,1459850088
327,1459852698,1459852698
327,1459853778,1459853778
327,1459853942,1459853942
327,1459854065,1459854065
327,1459854246,1459854246
327,1459854611,1459854611
327,1459854949,1459854949
327,1459855056,1459855056
327,1459855394,1459855394
327,1459860273,1459860273
327,1459860314,1459860314
327,1459861790,1459861790
327,1459861918,1459861918
327,1459862322,1459862322
327,1459862945,1459862945
327,1459863062,1459863062
327,1459863299,1459863299
327,1459863469,1459863469
327,1459864265,1459864265
327,1459864996,1459864996
327,1459865125,1459865125
327,1459865211,1459865211
327,1459865603,1459865603
327,1459866318,1459866318
327,1459866362,1459866362
327,1459866651,1459866651
327,1459867102,1459867102
327,1459867304,1459867304
327,1459869005,1459869005
327,1459873468,1459873468
327,1459877148,1459877148
327,1459878930,1459878930
327,1459879094,1459879094
327,1459879258,1459879258
327,1459879319,1459879319
327,1459879504,1459879504
327,1459883032,1459883032
327,1459883209,1459883209
327,1459883384,1459883384
327,1459883472,1459883472
327,1459884916,1459884916
327,1459885042,1459885042
327,1459885168,1459885168
327,1459886768,1459886768
327,1459887732,1459887732
327,1459887908,1459887908
327,1459888040,1459888040
327,1459888216,1459888216
327,1459888260,1459888260
327,1459893382,1459893382
327,1459893511,1459893511
327,1459893683,1459893683
327,1459893812,1459893812
327,1459893941,1459893941
328,1459839432,1459839432
328,1459839604,1459839604
328,1459839819,1459839819
328,1459839991,1459839991
328,1459840163,1459840163
328,1459840335,1459840335
328,1459840378,1459840378
328,1459843256,1459843256
328,1459846857,1459846857
328,1459847025,1459847025
328,1459847193,1459847193
328,1459850637,1459850637
328,1459850759,1459850759
328,1459850849,1459850849
328,1459855098,1459855098
328,1459860289,1459860289
328,1459860415,1459860415
328,1459860583,1459860583
328,1459860751,1459860751
328,1459860919,1459860919
328,1459865303,1459865303
328,1459865455,1459865455
328,1459865581,1459865581
328,1459870605,1459870605
328,1459874413,1459874413
328,1459878595,1459878595
328,1459891141,1459891141
328,1459891184,1459891184
328,1459893997,1459893997
328,1459894165,1459894165
328,1459894291,1459894291
328,1459894459,1459894459
328,1459894627,1459894627
328,1459894795,1459894795
329,1459812312,1459812312
329,1459812337,1459812337
329,1459812457,1459812457
329,1459816613,1459816613
329,1459816628,1459816628
329,1459816671,1459816671
329,1459819718,1459819718
329,1459819724,1459819724
329,1459819810,1459819810
329,1459820904,1459820904
329,1459821014,1459821014
329,1459821964,1459821964
329,1459822046,1459822046
329,1459822262,1459822262
329,1459822390,1459822390
329,1459822578,1459822578
329,1459822734,1459822734
329,1459822906,1459822906
329,1459823091,1459823091
329,1459823250,1459823250
329,1459823422,1459823422
329,1459823465,1459823465
329,1459825887,1459825887
329,1459825959,1459825959
329,1459828579,1459828579
329,1459828711,1459828711
329,1459893541,1459893541
329,1459893684,1459893684
329,1459893813,1459893813
329,1459893985,1459893985
329,1459894157,1459894157
329,1459894200,1459894200
330,1459816481,1459816481
330,1459816780,1459816780
330,1459821891,1459821891
330,1459822063,1459822063
330,1459822192,1459822192
330,1459832496,1459832496
330,1459832658,1459832658
330,1459832714,1459832714
330,1459833937,1459833937
330,1459834019,1459834019
330,1459834265,1459834265
330,1459834306,1459834306
330,1459834465,1459834465
330,1459839431,1459839431
330,1459839636,1459839636
330,1459839800,1459839800
330,1459839964,1459839964
330,1459840169,1459840169
330,1459840333,1459840333
330,1459840497,1459840497
330,1459840683,1459840683
330,1459840843,1459840843
330,1459841023,1459841023
330,1459841158,1459841158
330,1459841338,1459841338
330,1459841518,1459841518
330,1459841698,1459841698
330,1459841923,1459841923
330,1459842103,1459842103
330,1459842238,1459842238
330,1459842418,1459842418
330,1459842553,1459842553
330,1459842733,1459842733
330,1459842958,1459842958
330,1459843093,1459843093
330,1459843318,1459843318
