index,time1,time2,group
17,1464623927,1464623987,d1
17,1464624103,1464624163,d1
17,1464624147,1464624207,d1
17,1464627684,1464627744,d1
17,1464627711,1464627771,d1
17,1464627900,1464627960,d1
17,1464628063,1464628123,d1
17,1464628239,1464628299,d1
17,1464628540,1464628600,d1
17,1464628591,1464628651,d1
17,1464629307,1464629367,d1
17,1464629427,1464629487,d1
17,1464629647,1464629707,d1
17,1464629779,1464629839,d1
17,1464629999,1464630059,d1
17,1464630715,1464630775,d1
17,1464630835,1464630895,d1
17,1464631011,1464631071,d1
17,1464631187,1464631247,d1
17,1464631275,1464631335,d1
17,1464631407,1464631467,d1
17,1464631510,1464631570,d1
17,1464631671,1464631731,d1
17,1464631715,1464631775,d1
17,1464631857,1464631917,d1
17,1464631891,1464631951,d1
17,1464632053,1464632113,d1
17,1464632111,1464632171,d1
17,1464636416,1464636476,d1
17,1464636467,1464636527,d1
17,1464636643,1464636703,d1
17,1464636819,1464636879,d1
17,1464636995,1464637055,d1
17,1464637039,1464637099,d1
17,1464637169,1464637229,d1
17,1464637303,1464637363,d1
17,1464637479,1464637539,d1
17,1464639647,1464639707,d1
17,1464639679,1464639739,d1
17,1464658628,1464658688,d1
17,1464658643,1464658703,d1
17,1464658833,1464658893,d1
17,1464659047,1464659107,d1
17,1464659215,1464659275,d1
17,1464659347,1464659407,d1
17,1464659523,1464659583,d1
17,1464659699,1464659759,d1
17,1464659875,1464659935,d1
17,1464660051,1464660111,d1
17,1464660350,1464660410,d1
17,1464660359,1464660419,d1
17,1464660403,1464660463,d1
17,1464660537,1464660597,d1
17,1464660667,1464660727,d1
17,1464660854,1464660914,d1
17,1464660931,1464660991,d1
17,1464661921,1464661981,d1
17,1464662031,1464662091,d1
17,1464662977,1464663037,d1
17,1464663043,1464663103,d1
17,1464663263,1464663323,d1
17,1464663439,1464663499,d1
17,1464663571,1464663631,d1
17,1464663659,1464663719,d1
17,1464664334,1464664394,d1
17,1464664407,1464664467,d1
17,1464664539,1464664599,d1
17,1464664738,1464664798,d1
17,1464664759,1464664819,d1
17,1464664803,1464664863,d1
17,1464665046,1464665106,d1
17,1464665111,1464665171,d1
17,1464665287,1464665347,d1
17,1464665463,1464665523,d1
17,1464665639,1464665699,d1
17,1464665771,1464665831,d1
17,1464665947,1464666007,d1
17,1464666123,1464666183,d1
17,1464666167,1464666227,d1
17,1464667125,1464667185,d1
17,1464667311,1464667371,d1
17,1464667443,1464667503,d1
17,1464667663,1464667723,d1
17,1464667839,1464667899,d1
17,1464668015,1464668075,d1
17,1464668191,1464668251,d1
17,1464668323,1464668383,d1
17,1464668601,1464668661,d1
17,1464668675,1464668735,d1
17,1464668763,1464668823,d1
17,1464669379,1464669439,d1
17,1464669555,1464669615,d1
17,1464669687,1464669747,d1
17,1464669819,1464669879,d1
17,1464673973,1464674033,d1
17,1464673999,1464674059,d1
17,1464674175,1464674235,d1
17,1464674351,1464674411,d1
17,1464674527,1464674587,d1
17,1464674659,1464674719,d1
17,1464674879,1464674939,d1
19,1464620915,1464620975,d1
19,1464621603,1464621663,d1
19,1464621918,1464621978,d1
19,1464623129,1464623189,d1
19,1464623547,1464623607,d1
19,1464623673,1464623733,d1
19,1464624004,1464624064,d1
19,1464624436,1464624496,d1
19,1464624562,1464624622,d1
19,1464625217,1464625277,d1
19,1464625344,1464625404,d1
19,1464626569,1464626629,d1
19,1464626733,1464626793,d1
19,1464626766,1464626826,d1
19,1464627135,1464627195,d1
19,1464627391,1464627451,d1
19,1464629609,1464629669,d1
19,1464629882,1464629942,d1
19,1464630362,1464630422,d1
19,1464631037,1464631097,d1
19,1464631367,1464631427,d1
19,1464631674,1464631734,d1
19,1464631874,1464631934,d1
19,1464631959,1464632019,d1
19,1464632220,1464632280,d1
19,1464632577,1464632637,d1
19,1464632711,1464632771,d1
19,1464632914,1464632974,d1
19,1464633089,1464633149,d1
19,1464633255,1464633315,d1
19,1464633333,1464633393,d1
19,1464633589,1464633649,d1
19,1464633634,1464633694,d1
19,1464633949,1464634009,d1
19,1464634089,1464634149,d1
19,1464634288,1464634348,d1
19,1464634410,1464634470,d1
19,1464634603,1464634663,d1
19,1464634764,1464634824,d1
19,1464634940,1464635000,d1
19,1464635413,1464635473,d1
19,1464635607,1464635667,d1
19,1464635674,1464635734,d1
19,1464635844,1464635904,d1
19,1464636225,1464636285,d1
19,1464643349,1464643409,d1
19,1464643424,1464643484,d1
19,1464643866,1464643926,d1
19,1464645093,1464645153,d1
19,1464647959,1464648019,d1
19,1464648131,1464648191,d1
19,1464648643,1464648703,d1
19,1464648819,1464648879,d1
19,1464648995,1464649055,d1
19,1464655213,1464655273,d1
19,1464655270,1464655330,d1
19,1464655477,1464655537,d1
19,1464657592,1464657652,d1
19,1464658156,1464658216,d1
19,1464658191,1464658251,d1
22,1464628767,1464628827,d1
22,1464633917,1464633977,d1
22,1464640823,1464640883,d1
22,1464640993,1464641053,d1
22,1464641018,1464641078,d1
22,1464641235,1464641295,d1
22,1464641669,1464641729,d1
22,1464641712,1464641772,d1
22,1464642019,1464642079,d1
22,1464642224,1464642284,d1
22,1464643301,1464643361,d1
22,1464643456,1464643516,d1
22,1464643571,1464643631,d1
22,1464644351,1464644411,d1
22,1464645035,1464645095,d1
22,1464645921,1464645981,d1
22,1464645963,1464646023,d1
22,1464647408,1464647468,d1
22,1464648441,1464648501,d1
22,1464651467,1464651527,d1
22,1464653611,1464653671,d1
22,1464654575,1464654635,d1
22,1464654739,1464654799,d1
22,1464654903,1464654963,d1
22,1464655534,1464655594,d1
22,1464656394,1464656454,d1
22,1464656437,1464656497,d1
22,1464656962,1464657022,d1
22,1464656996,1464657056,d1
22,1464659889,1464659949,d1
22,1464660015,1464660075,d1
22,1464663920,1464663980,d1
22,1464664006,1464664066,d1
22,1464668020,1464668080,d1
22,1464668027,1464668087,d1
22,1464669014,1464669074,d1
22,1464669466,1464669526,d1
26,1464613483,1464613543,d1
26,1464614427,1464614487,d1
26,1464615331,1464615391,d1
